EA,T,value
0,7134,13031.320794196963
0,7135,13031.320794196961
0,7136,13031.320794196963
0,7137,13031.320794196963
0,7138,13031.320794196963
0,7139,13031.320794196963
0,7140,13031.320794196963
0,7141,13031.320794196961
0,7142,7693.60875716052
0,7143,6.6709628394873545e-09
0,7144,6.670739678369338e-09
0,7145,6.670716958286009e-09
0,7146,6.670708403686076e-09
0,7147,6.6707057833371376e-09
0,7148,6.670720104189245e-09
0,7149,6.670740495449506e-09
0,7150,6.670774690500777e-09
0,7151,6.670841818151532e-09
0,7152,6.670904013540447e-09
0,7153,6.670975745870673e-09
0,7154,6.6709411987281355e-09
0,7155,6.6709117216605455e-09
0,7156,6.670868094262133e-09
0,7157,6.670766765823153e-09
0,7158,6.670708947252529e-09
0,7159,6.670664729092681e-09
0,7160,6.670620684708419e-09
0,7161,6.670609966879512e-09
0,7162,6.6706168261760354e-09
0,7163,6.670643346575173e-09
0,7164,6.6706700828431985e-09
0,7165,6.6706825451906705e-09
0,7166,6.6706728734542296e-09
0,7167,6.670663109645307e-09
0,7168,6.670655090702233e-09
0,7169,6.670645921304611e-09
0,7170,6.670666167239429e-09
0,7171,6.670693430485615e-09
0,7172,6.670731848765233e-09
0,7173,6.67080543477709e-09
0,7174,6.671032717961462e-09
0,7175,585.6650632639573
0,7176,6621.472224891541
0,7177,8890.802237120097
0,7178,10092.14401383417
0,7179,7695.725094173803
0,7180,6322.663834977798
0,7181,555.4705632892352
0,7182,6.670887618816259e-09
0,7183,6.670731599231021e-09
0,7184,6.670728671188894e-09
0,7185,6.670781358804924e-09
0,7186,6.67103778899271e-09
0,7187,6.671357910378775e-09
0,7188,6.6713909232439484e-09
0,7189,6.671275866294012e-09
0,7190,6.670895813242537e-09
0,7191,6.6707561272756825e-09
0,7192,6.670722356677704e-09
0,7193,6.670720106008672e-09
0,7194,6.670736520456869e-09
0,7195,6.670797967487093e-09
0,7196,6.671816456483541e-09
0,7197,7343.997032819547
0,7198,13031.320794196961
0,7199,13031.320794196963
0,7200,13031.320794196961
0,7201,13031.320794196961
0,7202,13031.320794196963
0,7203,13031.320794196961
0,7204,13031.320794196961
0,7205,11058.302845782537
0,7206,6.6715652022667616e-09
0,7207,6.670756875501389e-09
0,7208,6.67072529415239e-09
0,7209,6.670730998349236e-09
0,7210,6.670782025882333e-09
0,7211,6.671006653884384e-09
0,7212,2438.8612839153325
0,7213,5776.852439913554
0,7214,6.674419980710769e-09
0,7215,6.6708387241663336e-09
0,7216,6.670723168088681e-09
0,7217,6.67072043047396e-09
0,7218,6.670736611396867e-09
0,7219,6.67075650909103e-09
0,7220,6.670896363847834e-09
0,7221,6.67180100146194e-09
0,7222,4153.952132392689
0,7223,12474.645549886674
0,7224,13031.320794196961
0,7225,13031.320794196961
0,7226,13031.320794196963
0,7227,13031.320794196963
0,7228,13031.320794196963
0,7229,13031.320794196961
0,7230,5001.09261990366
0,7231,6.670956931722233e-09
0,7232,6.670848802696277e-09
0,7233,6.675737195437446e-09
0,7234,8932.520603677354
0,7235,13031.320794196963
0,7236,13031.320794196961
0,7237,10943.190594855429
0,7238,6.671528637347748e-09
0,7239,6.670745973671515e-09
