IA,T,value
0,6104,1.3160181449047535e-06
0,6105,5.150584802977301e-07
0,6106,5.150580863286388e-07
0,6107,5.150579961231807e-07
0,6108,5.150579676605426e-07
0,6109,5.150579815344273e-07
0,6110,5.150580586485236e-07
0,6111,5.150584160780501e-07
0,6112,1.316203594032379e-06
0,6113,2.174724395571275e-06
0,6114,2.174729895636305e-06
0,6115,2.1747311550889166e-06
0,6116,2.1747311595952945e-06
0,6117,2.1747302434366525e-06
0,6118,2.174728884636861e-06
0,6119,2.1747266655092017e-06
0,6120,2.1747234472970466e-06
0,6121,2.1747194374188965e-06
0,6122,2.1747151651399683e-06
0,6123,2.174710238179436e-06
0,6124,2.174704638134052e-06
0,6125,2.174692574532849e-06
0,6126,2.17459599071183e-06
0,6127,5.15069666633442e-07
0,6128,5.150582793683961e-07
0,6129,5.150579492610354e-07
0,6130,5.150578626168562e-07
0,6131,5.150578373944105e-07
0,6132,5.150578314943449e-07
0,6133,5.150578357655052e-07
0,6134,5.15057863477008e-07
0,6135,5.150579767674072e-07
0,6136,5.150596684360765e-07
0,6137,2.1747133473943615e-06
0,6138,2.1747279136091324e-06
0,6139,2.174729649788692e-06
0,6140,2.1747297802745917e-06
0,6141,2.1747286584998266e-06
0,6142,2.174726471352445e-06
0,6143,2.1747224719400986e-06
0,6144,2.174719371838326e-06
0,6145,2.174716020566809e-06
0,6146,2.1747119895100704e-06
0,6147,2.1747063310949277e-06
0,6148,2.1747004174265012e-06
0,6149,2.174710495756599e-06
0,6150,2.1747123345426667e-06
0,6151,2.174695553795302e-06
0,6152,1.31602711475067e-06
0,6153,5.150583788175451e-07
0,6154,5.150580329030046e-07
0,6155,5.150579604102116e-07
0,6156,5.150579491965254e-07
0,6157,5.150579819947795e-07
0,6158,5.150581301419533e-07
0,6159,5.150615318371115e-07
0,6160,2.174711578486208e-06
0,6161,2.1747309064744196e-06
0,6162,2.1747338705782084e-06
0,6163,2.174734270619103e-06
0,6164,2.1747333772601483e-06
0,6165,2.174731259753891e-06
0,6166,2.17472933982288e-06
0,6167,2.174726800758869e-06
0,6168,2.174723464686999e-06
0,6169,2.1747214939741265e-06
0,6170,2.174722033696907e-06
0,6171,2.1747216833304696e-06
0,6172,2.174723642231393e-06
0,6173,2.17472680392539e-06
0,6174,2.174728150302393e-06
0,6175,2.174724358349313e-06
0,6176,2.1747065923382117e-06
0,6177,1.31604560001e-06
0,6178,1.3160358300361077e-06
0,6179,1.3160347975848564e-06
0,6180,1.316034507152248e-06
0,6181,1.316034653243937e-06
0,6182,1.3160360242670237e-06
0,6183,2.174229268953184e-06
0,6184,2.174726897955859e-06
0,6185,2.174736113651557e-06
0,6186,2.174741336377021e-06
0,6187,2.1747413906621563e-06
0,6188,2.1747385146053417e-06
0,6189,2.17473352481074e-06
0,6190,2.174730649492484e-06
0,6191,2.174728097547717e-06
0,6192,2.174725149490771e-06
0,6193,2.1747238544676546e-06
0,6194,2.174724360148655e-06
0,6195,2.17472542408015e-06
0,6196,2.1747273220662586e-06
0,6197,2.1747301371306295e-06
0,6198,2.17473236766106e-06
0,6199,2.174731419446463e-06
