STO,T,value
0,8648,1031.748093489448
0,8649,1032.8437399894606
0,8650,1038.8422001504794
0,8651,1050.3676557565361
0,8652,1083.123289479375
0,8653,1180.036635945411
0,8654,1437.112600207066
0,8655,2047.99999999726
0,8656,2044.3926511751993
0,8657,1500.3014414621111
0,8658,1140.356094737668
0,8659,800.8389908822714
0,8660,417.97792915468887
0,8661,417.9779289048774
0,8662,711.6854945806549
0,8663,1000.0192431094529
0,8664,1288.548032824064
0,8665,1618.5317827546087
0,8666,2047.9999996523989
0,8667,2047.999999711967
0,8668,2047.9999999955678
0,8669,2047.9999999445993
0,8670,2047.999999944206
0,8671,2047.999999992358
0,8672,1707.4419292725079
0,8673,1512.7266146037312
0,8674,1353.8043193405906
0,8675,1210.2134329376704
0,8676,1075.759515727032
0,8677,961.48621844541
0,8678,828.5573444190543
0,8679,686.2804884416666
0,8680,526.8070515896219
0,8681,330.1942731985965
0,8682,8.183255191341135e-08
0,8683,8.132118423861696e-08
0,8684,7.436750848642472e-08
0,8685,5.7944906773264805e-08
0,8686,1.6405793083984705e-08
0,8687,279.88461135547203
0,8688,572.0016553939604
0,8689,804.4581672731283
0,8690,1018.4414199099758
0,8691,1232.5176887342677
0,8692,1466.2378479188085
0,8693,1764.2025864755096
0,8694,1764.2025863821818
0,8695,1491.728034217923
0,8696,1273.5405068987573
0,8697,1076.306072302921
0,8698,884.0676326024579
0,8699,685.4084254182968
0,8700,685.4084251695449
0,8701,685.4084250877066
0,8702,685.4084250456648
0,8703,685.4084250230715
0,8704,443.01124268352527
0,8705,230.82175287456764
0,8706,230.82175288824044
0,8707,230.82175291791123
0,8708,288.77791161368305
0,8709,355.0310226284346
0,8710,413.2364553413495
0,8711,466.81227089194346
0,8712,520.5015965582867
0,8713,571.8008575439798
0,8714,620.6066001007591
0,8715,667.4059810085062
0,8716,712.5407791308415
0,8717,755.6752162012344
0,8718,794.7852345081321
0,8719,832.9261061974876
0,8720,869.4289722660349
0,8721,906.2171499376964
0,8722,942.9926727215095
0,8723,979.6287918539098
0,8724,1016.1931519366562
0,8725,1052.7085705237505
0,8726,1088.9390788511778
0,8727,1088.9390788528115
0,8728,1088.939078866396
0,8729,1088.9390788959593
0,8730,1088.9390789536096
0,8731,1088.939079090009
0,8732,1125.8972794503475
0,8733,1163.909897755141
0,8734,1202.4073490163696
0,8735,1241.7104694287707
0,8736,1284.0932748990397
0,8737,1327.8017358323389
0,8738,1372.6559679829224
0,8739,1418.6762535878756
0,8740,1464.576781153478
0,8741,1511.639204191927
0,8742,1561.0908645384739
0,8743,1609.1851390737766
0,8744,1609.185139103398
0,8745,1609.1851391611704
0,8746,1609.18513929799
0,8747,1683.130922397962
0,8748,1781.4768331889582
0,8749,1923.0121161886827
0,8750,1510.9928305181534
0,8751,1215.7680382777248
0,8752,951.447106312252
0,8753,676.4098417459337
0,8754,344.61656209538694
0,8755,344.6165620727838
0,8756,344.61656206328496
0,8757,344.61656206499543
0,8758,344.6165620786605
0,8759,344.61656210833286
1,0,20894.05402733345
1,1,22054.257609680324
1,2,23327.506109665603
1,3,24881.372677792086
1,4,26423.015532821875
1,5,27912.785453626468
1,6,29317.951189013827
1,7,30607.90180962871
1,8,31743.735132975642
1,9,32924.09662293978
1,10,34182.964529917444
1,11,35462.51546698185
1,12,36801.864720273414
1,13,38147.76511780133
1,14,39391.3268226623
1,15,40213.68735210166
1,16,40213.687352079054
1,17,40213.68735206956
1,18,40213.68735207128
1,19,40213.68735208497
1,20,40213.687352114684
1,21,40213.68735217262
1,22,40567.89824711846
1,23,41879.82481173553
1,24,43317.56641518641
1,25,44809.43395087026
1,26,46321.905817538674
1,27,47842.50229437988
1,28,49372.02285220589
1,29,50854.01761885602
1,30,52099.04234190916
1,31,43825.754877860476
1,32,21800.646911965618
1,33,5786.6058388618885
1,34,5786.60583861233
1,35,5786.605838530387
1,36,5786.605838488315
1,37,5786.605838465709
1,38,5786.605838456212
1,39,5786.605838457918
1,40,2480.168144520204
1,41,9.669917309135137e-08
1,42,1.1608825330307272e-07
1,43,1.304013884853431e-07
1,44,1.4175416166280425e-07
1,45,1.3930054652144678e-07
1,46,1.219916780429407e-07
1,47,1.249128695891388e-07
1,48,1.2357260144550545e-07
1,49,1.174461677950914e-07
1,50,1.0500074315504906e-07
1,51,8.22753793216851e-08
1,52,1102.7593966896152
1,53,1102.7593966632037
1,54,1102.7593966520985
1,55,1102.7593966541385
1,56,1102.7593966702075
1,57,1102.759396705069
1,58,1102.7593967730372
1,59,1102.759396934168
1,60,4438.378589694141
1,61,9906.931562320166
1,62,12499.346101224442
1,63,13658.006093666809
1,64,11748.114411556387
1,65,3489.884541141716
1,66,2.0282124652585095e-08
1,67,7.73599643750318e-08
1,68,9.530264032503704e-08
1,69,9.489349883864018e-08
1,70,7.485734895104244e-08
1,71,2.193265634923384e-09
1,72,2169.6417299227583
1,73,7311.583672061863
1,74,13135.535153840607
1,75,19648.260887251403
1,76,27840.68324232611
1,77,38827.531873933454
1,78,51645.69448517534
1,79,59893.16431788452
1,80,62561.969234302574
1,81,65693.6654474531
1,82,68046.30439775946
1,83,69930.16971121149
1,84,72771.25838241322
1,85,75955.63964507534
1,86,76663.49599177083
1,87,76663.49599171091
1,88,76663.4959917679
1,89,76663.49599161609
1,90,76663.49599155372
1,91,76663.49599151517
1,92,76663.49599148956
1,93,76663.49599147293
1,94,76663.49599146351
1,95,76663.49599146043
1,96,76663.49599146347
1,97,76663.49599147284
1,98,76663.4959914894
1,99,76663.49599151491
1,100,76663.49599155334
1,101,76663.4959916154
1,102,76663.4959917652
1,103,67978.28343563166
1,104,43237.96132260899
1,105,24662.96449756929
1,106,19960.33110531762
1,107,15239.17357741085
1,108,14464.091660281541
1,109,14381.67248393398
1,110,11869.051010075149
1,111,8288.699352870408
1,112,4349.074745238451
1,113,4.7981025315434536e-08
1,114,5.584998106525997e-08
1,115,4.92357036223904e-08
1,116,1.7510180949624222e-08
1,117,1688.018693428478
1,118,6762.573951027163
1,119,14796.038614036239
1,120,25099.32480604705
1,121,35445.186245082055
1,122,45748.62527714898
1,123,55987.69914478185
1,124,66531.37164493464
1,125,75952.74724991617
1,126,76663.49599174995
1,127,70213.31463931357
1,128,47057.74761903902
1,129,27175.098606866275
1,130,17003.097451259488
1,131,17003.097451127695
1,132,17003.097451070436
1,133,17003.097451039663
1,134,17003.097451023925
1,135,15480.518625299259
1,136,8120.516292442851
1,137,8.595215423751776e-08
1,138,9.540343569491752e-08
1,139,9.859850981702235e-08
1,140,9.596910315112577e-08
1,141,1413.9836235408688
1,142,4935.982518774027
1,143,7786.920340321616
1,144,10354.747891876006
1,145,12658.257766975705
1,146,14776.196671486208
1,147,19271.33486990403
1,148,26238.896995682942
1,149,28939.65161245018
1,150,30470.21216409599
1,151,31546.78030640993
1,152,23955.37647742826
1,153,9112.304254031556
1,154,6597.143597440987
1,155,3.914735610836611e-07
1,156,3.3733359493877575e-07
1,157,2.9835395448131463e-07
1,158,2.689878228091108e-07
1,159,2.4636772156584087e-07
1,160,2.2877322402811186e-07
1,161,2.150615572646267e-07
1,162,2.0441188388272704e-07
1,163,2.0791228223850122e-07
1,164,2.021945210026405e-07
1,165,1.9863132241914748e-07
1,166,1.9698981549827813e-07
1,167,1.9713322427453313e-07
1,168,5051.047623096569
1,169,16183.436007741222
1,170,28658.674599569447
1,171,40880.106186340214
1,172,49254.71119948622
1,173,57109.085344132094
1,174,57109.08534404446
1,175,57109.08534395485
1,176,57109.08534386525
1,177,57109.085343775645
1,178,57109.08534368604
1,179,57109.08534359644
1,180,57109.085343506835
1,181,57109.08534341723
1,182,57109.08534332762
1,183,55747.671362603025
1,184,45558.13812232565
1,185,26604.231071288814
1,186,11165.403568734297
1,187,5990.472862065418
1,188,5990.47286191177
1,189,5990.472861822162
1,190,5990.472861732552
1,191,5990.47286164294
1,192,5990.472861553326
